@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {classifierData/cachorro,classifierData/gato,classifierData/onca}

@DATA
0.253376,0.021544,3.150337,0.328232,0.211665,1.552608,0.016027,0.354388,-27.898319,-0.232778,-1.726469,0.199377,-0.477520,0.073704,0.367964,0.132655,-0.211022,-0.230624,0.216962,-0.007877,-0.055067,0.010599,0.003158,0.005137,0.012328,0.006057,0.024672,0.009195,0.001867,0.001868,0.003682,0.008829,0.010560,0.013066,0.085796,0.033882,0.134409,0.080314,0.037242,0.526524,0.013591,0.128417,2.585234,1.079303,0.745288,0.445512,0.562299,0.399268,0.367766,0.231696,0.415370,0.332359,0.324219,0.233628,0.215031,0.011628,0.003024,0.007466,0.018770,0.009086,0.031720,0.010386,0.001604,0.001673,0.003342,0.011796,0.015106,0.011360,classifierData/gato
0.073559,0.051830,3.074528,0.120756,0.117813,0.536004,0.035113,0.088044,-33.827874,-0.944100,0.284646,0.041483,0.084611,0.255100,-0.123626,0.162525,-0.100026,0.002961,0.001307,0.089866,-0.051151,0.001683,0.002249,0.005058,0.003410,0.054300,0.002201,0.010517,0.001914,0.001509,0.001862,0.000906,0.001333,0.018175,0.055977,0.065018,0.397677,0.060453,0.062854,0.339574,0.052081,0.070017,10.069478,1.690480,0.557808,0.579214,0.356952,0.395429,0.350665,0.410889,0.399708,0.436070,0.407948,0.283672,0.209967,0.003285,0.004806,0.008532,0.006258,0.068794,0.004719,0.024770,0.004303,0.002304,0.003913,0.001095,0.003010,0.019527,classifierData/gato
0.074864,0.030043,2.922665,0.150725,0.159466,0.405735,0.012563,0.075681,-29.934876,0.172939,-0.362917,0.261676,0.107655,0.247171,0.085849,0.057726,0.106668,0.250208,0.036565,-0.096983,0.146098,0.004019,0.005986,0.026692,0.002537,0.010410,0.003031,0.154658,0.001512,0.001215,0.001713,0.011358,0.002773,0.048698,0.016798,0.025200,0.196373,0.020592,0.022405,0.184442,0.007401,0.028376,1.466145,0.789947,0.534704,0.325991,0.342056,0.284789,0.279651,0.257221,0.387484,0.289697,0.363255,0.177966,0.144849,0.005525,0.011406,0.020351,0.003589,0.012849,0.004837,0.052593,0.003889,0.001667,0.002271,0.018184,0.005673,0.013909,classifierData/gato
0.368805,0.042188,3.252975,0.424374,0.206222,1.892332,0.017631,0.502545,-26.453515,-1.777857,-0.778795,0.012866,-0.345991,0.188451,0.315865,0.278359,-0.656570,-0.254917,0.412133,0.211054,-0.024196,0.003731,0.008874,0.004726,0.002368,0.004893,0.010220,0.002676,0.002110,0.001495,0.000298,0.000586,0.004592,0.008387,0.101799,0.029250,0.104596,0.079851,0.020864,0.372296,0.010948,0.160021,1.475465,0.736328,0.583199,0.247866,0.395359,0.410735,0.377036,0.391137,0.335782,0.296899,0.363731,0.250706,0.273947,0.009250,0.012538,0.011399,0.006969,0.009154,0.016339,0.003930,0.003375,0.002598,0.000384,0.000758,0.008544,0.007860,classifierData/gato
0.042117,0.034037,3.131412,0.108165,0.155141,0.284186,0.016999,0.055626,-27.211778,1.308529,-0.428603,0.164484,-0.054678,0.350855,0.400795,-0.027577,-0.532592,-0.007720,0.434103,0.075949,-0.101404,0.012460,0.002972,0.021036,0.002992,0.018898,0.035518,0.094756,0.020725,0.002853,0.005532,0.008747,0.000835,0.041240,0.019885,0.032662,0.194709,0.022413,0.030783,0.233787,0.009661,0.037123,1.593388,0.962121,0.638255,0.549532,0.317497,0.304099,0.427373,0.259330,0.408038,0.293996,0.293007,0.158611,0.168500,0.022333,0.007394,0.026531,0.003504,0.018930,0.062999,0.103147,0.042770,0.003251,0.006911,0.010258,0.001179,0.027108,classifierData/gato
0.031613,0.020507,2.845870,0.109002,0.177657,0.264305,0.024843,0.044616,-29.582911,1.089947,0.123856,0.693768,-0.076180,0.054752,0.161981,-0.019526,0.117153,0.110450,-0.013264,0.121424,0.041737,0.000908,0.000586,0.021620,0.000519,0.076532,0.001436,0.116734,0.000378,0.001659,0.002267,0.003274,0.001948,0.042193,0.029777,0.023490,0.357553,0.024961,0.041470,0.310673,0.025895,0.050045,4.082586,1.330724,0.402853,0.325463,0.316850,0.289641,0.368784,0.355453,0.269215,0.217949,0.316142,0.216809,0.252052,0.001230,0.001048,0.033113,0.000502,0.047172,0.003096,0.085411,0.000626,0.003446,0.004076,0.004052,0.005372,0.018641,classifierData/gato
0.016962,0.053717,2.794460,0.106021,0.186907,0.131427,0.024832,0.023019,-28.646894,1.564509,0.152573,0.508735,0.181356,0.160912,0.271445,0.266510,0.039482,-0.027848,0.118586,0.047373,0.003284,0.002180,0.000618,0.111465,0.002041,0.028119,0.002200,0.205205,0.000176,0.000191,0.001141,0.005066,0.000342,0.071187,0.014269,0.051667,0.246940,0.025124,0.035491,0.133000,0.019121,0.024002,4.034479,0.818434,0.474511,0.241738,0.311766,0.226066,0.192624,0.249287,0.155804,0.198268,0.199935,0.158136,0.097735,0.003007,0.001125,0.082780,0.005919,0.028640,0.004122,0.121153,0.000331,0.000176,0.001371,0.006374,0.000656,0.027346,classifierData/gato
0.065964,0.029311,3.127171,0.145688,0.177933,0.398333,0.008060,0.058196,-26.688241,1.186446,-0.140781,0.552887,0.201067,0.594485,0.041948,-0.188661,0.045632,0.388157,-0.202417,-0.151367,0.196206,0.004011,0.001039,0.049756,0.009483,0.022256,0.004848,0.075566,0.002460,0.005726,0.028577,0.017647,0.001331,0.032892,0.014756,0.030969,0.141142,0.014934,0.022490,0.189717,0.007590,0.026051,1.514128,0.915134,0.619370,0.366651,0.247368,0.278484,0.266479,0.300898,0.301736,0.338484,0.259487,0.163594,0.141291,0.003597,0.001207,0.041840,0.017704,0.024006,0.006368,0.060704,0.004262,0.011295,0.031842,0.017344,0.001194,0.015650,classifierData/gato
0.056732,0.033698,3.157469,0.160937,0.193606,0.308286,0.011235,0.065842,-27.580998,0.920085,-1.337311,-0.082473,-0.332384,0.245292,0.512703,0.545508,-0.458931,-0.310036,0.161340,0.202468,-0.091598,0.003255,0.001294,0.023040,0.013355,0.031884,0.015337,0.054676,0.001765,0.000541,0.000912,0.003225,0.000920,0.030865,0.024730,0.038757,0.279799,0.023556,0.018252,0.233417,0.009671,0.037719,3.579026,0.787583,0.630264,0.370484,0.384741,0.607104,0.280219,0.372512,0.381481,0.361845,0.431357,0.212931,0.181854,0.005992,0.001599,0.039849,0.027689,0.036208,0.035089,0.088066,0.004465,0.000544,0.001336,0.005483,0.001282,0.024849,classifierData/gato
0.298333,0.037873,3.072134,0.356799,0.204734,1.862694,0.015637,0.419273,-25.758003,-0.810222,-1.229128,0.009858,-0.231591,0.183899,0.340471,0.373531,-0.592262,-0.256137,0.190221,0.202517,0.002071,0.010877,0.003066,0.012724,0.011128,0.006514,0.033384,0.009413,0.002079,0.001087,0.001068,0.002298,0.003173,0.016138,0.104585,0.025481,0.378846,0.084002,0.027958,0.420940,0.009470,0.150333,1.150248,1.123050,0.600803,0.465321,0.463166,0.309889,0.294765,0.336222,0.427391,0.246594,0.377802,0.223644,0.274829,0.013908,0.004683,0.022439,0.019472,0.011115,0.033278,0.010526,0.003474,0.001606,0.001347,0.004618,0.003654,0.011582,classifierData/gato
